UsuarioID,Nota,Produto,Categoria,Regiao,Idade,Preco,DataCompra,Quantidade,FormaPagamento,Desconto
USER0134,5,Tablet,Eletrônicos,Nordeste,50,553.69,09/08/2023,1,Cartão de Crédito,0.0
USER0135,2,Placa Controladora,Robótica,Nordeste,60,3180.97,17/06/2023,1,Cartão de Crédito,0.0
USER0136,3,Motor de Passo,Robótica,Nordeste,26,1862.26,07/09/2023,5,Transferência Bancária,52.41
USER0137,5,Controle de Acesso,Segurança,Nordeste,49,110.78,30/03/2023,8,Pix,0.0
USER0138,3,Controle de Acesso,Segurança,Sudeste,30,4978.05,30/06/2023,2,Transferência Bancária,0.0
USER0139,3,Tablet,Eletrônicos,Centro-Oeste,44,3008.99,30/03/2023,7,Dinheiro,828.45
USER0140,3,Motor de Passo,Robótica,Norte,50,1730.56,05/05/2023,2,Pix,0.0
USER0141,3,Roteador,Redes,Norte,42,4951.99,05/08/2023,9,Dinheiro,0.0
USER0142,3,Sensor de Movimento,Robótica,Nordeste,29,4747.8,22/06/2023,4,Dinheiro,205.91
USER0143,1,Detector de Fumaça,Segurança,Sul,35,242.71,26/09/2023,4,Dinheiro,51.22
USER0144,3,Repetidor,Redes,Centro-Oeste,68,4461.88,25/11/2023,8,Cartão de Crédito,0.0
USER0145,5,Drone,Eletrônicos,Nordeste,29,4399.29,14/05/2023,2,Boleto,0.0
USER0146,3,Desktop,Informática,Sul,20,4582.14,28/04/2023,3,Pix,0.0
USER0147,4,Kit de Montagem,Robótica,Nordeste,66,4038.59,03/08/2023,1,Transferência Bancária,0.0
USER0148,4,Smartphone,Eletrônicos,Nordeste,28,4303.51,29/11/2023,3,Boleto,0.0
USER0149,2,Controle de Acesso,Segurança,Centro-Oeste,59,4180.67,12/08/2023,8,Dinheiro,128.65
USER0150,5,Teclado,Informática,Centro-Oeste,34,4644.71,17/06/2023,4,Cartão de Crédito,0.0
USER0151,5,Fechadura Digital,Segurança,Sudeste,29,3889.77,02/10/2023,9,Boleto,943.86
USER0152,2,Monitor,Informática,Norte,40,3063.07,28/04/2023,3,Dinheiro,308.22
USER0153,2,Fechadura Digital,Segurança,Nordeste,45,3280.31,08/01/2023,6,Dinheiro,0.0
USER0154,3,Sensor de Movimento,Robótica,Nordeste,28,4800.25,03/12/2023,3,Transferência Bancária,0.0
USER0155,3,Placa Controladora,Robótica,Centro-Oeste,64,4740.8,17/10/2023,2,Pix,89.05
USER0156,2,Controle de Acesso,Segurança,Nordeste,44,1462.48,12/03/2023,5,Transferência Bancária,0.0
USER0157,4,Roteador,Redes,Centro-Oeste,38,510.06,12/03/2023,5,Pix,0.0
USER0158,1,Controle de Acesso,Segurança,Sudeste,57,568.5,22/08/2023,9,Pix,95.94
USER0159,2,Tablet,Eletrônicos,Sul,22,604.84,24/10/2023,9,Boleto,0.0
USER0160,2,Switch,Redes,Centro-Oeste,36,813.44,02/12/2023,6,Pix,173.7
USER0161,5,Servo Motor,Automação,Centro-Oeste,18,1927.85,17/05/2023,5,Transferência Bancária,297.38
USER0162,1,Smartwatch,Eletrônicos,Norte,21,4047.37,13/12/2023,7,Dinheiro,1113.45
USER0163,1,Controlador,Automação,Sudeste,65,2288.69,24/10/2023,3,Transferência Bancária,603.64
USER0164,4,Repetidor,Redes,Nordeste,66,3425.33,26/08/2023,9,Dinheiro,0.0
USER0165,1,Roteador,Redes,Norte,35,913.08,14/09/2023,4,Transferência Bancária,0.0
USER0166,4,CLP,Automação,Centro-Oeste,32,594.18,08/02/2023,8,Boleto,0.0
USER0167,4,Kit de Montagem,Robótica,Nordeste,34,1938.31,22/12/2023,8,Transferência Bancária,0.0
USER0168,3,Controlador,Automação,Centro-Oeste,31,1647.8,29/11/2023,1,Cartão de Crédito,0.0
USER0169,2,Atuador,Automação,Norte,27,2277.25,02/07/2023,1,Boleto,0.0
USER0170,1,Access Point,Redes,Nordeste,60,4142.29,09/11/2023,7,Cartão de Crédito,590.0
USER0171,4,Desktop,Informática,Sul,68,243.99,08/11/2023,7,Cartão de Crédito,67.22
USER0172,2,Kit de Montagem,Robótica,Nordeste,49,1839.85,26/04/2023,5,Dinheiro,170.68
USER0173,1,Impressora,Informática,Norte,25,2473.33,03/10/2023,4,Boleto,315.26
USER0174,3,Desktop,Informática,Sudeste,66,1607.34,08/10/2023,4,Pix,0.0
USER0175,3,Notebook,Informática,Nordeste,34,576.3,10/09/2023,2,Dinheiro,0.0
USER0176,5,Switch,Redes,Sul,21,2751.54,02/06/2023,4,Dinheiro,0.0
USER0177,4,Smartphone,Eletrônicos,Centro-Oeste,19,390.42,30/05/2023,2,Pix,91.06
USER0178,2,Fechadura Digital,Segurança,Norte,48,2120.88,26/05/2023,4,Boleto,0.0
USER0179,5,Monitor,Informática,Sudeste,62,3193.4,04/06/2023,6,Pix,0.0
USER0180,3,Controlador,Automação,Sul,48,3666.47,04/06/2023,4,Cartão de Crédito,0.0
USER0181,4,Switch,Redes,Centro-Oeste,25,1964.26,18/05/2023,7,Boleto,0.0
USER0182,2,Televisão,Eletrônicos,Norte,49,1139.66,26/07/2023,3,Cartão de Crédito,0.0
USER0183,5,Smartphone,Eletrônicos,Sul,30,1937.65,15/10/2023,3,Pix,541.12
USER0184,5,Switch,Redes,Centro-Oeste,34,3752.79,12/03/2023,1,Cartão de Crédito,0.0
USER0185,3,CLP,Automação,Sudeste,61,4490.23,30/01/2023,3,Boleto,0.0
USER0186,2,Alarme,Segurança,Norte,34,2587.08,10/10/2023,2,Pix,422.39
USER0187,2,Servo Motor,Automação,Sudeste,18,1614.0,12/11/2023,5,Pix,0.0
USER0188,2,Smartphone,Eletrônicos,Norte,27,4167.14,30/11/2023,3,Pix,0.0
USER0189,4,Roteador,Redes,Sudeste,44,908.49,16/09/2023,2,Dinheiro,186.0
USER0190,4,Teclado,Informática,Sul,38,3555.83,03/03/2023,2,Pix,0.0
USER0191,1,Switch,Redes,Sudeste,63,637.24,16/05/2023,2,Boleto,63.06
USER0192,3,Detector de Fumaça,Segurança,Nordeste,20,2224.98,08/08/2023,4,Boleto,0.0
USER0193,1,Fechadura Digital,Segurança,Sul,40,1922.53,20/06/2023,8,Transferência Bancária,369.41
USER0194,2,Câmera,Segurança,Nordeste,43,3115.68,07/12/2023,2,Dinheiro,756.08
USER0195,3,Smartphone,Eletrônicos,Nordeste,68,1589.11,12/06/2023,2,Boleto,0.0
USER0196,4,Controle de Acesso,Segurança,Norte,23,570.79,23/04/2023,8,Boleto,19.96
USER0197,1,Controlador,Automação,Sudeste,40,3449.36,14/12/2023,9,Boleto,0.0
USER0198,4,Sensor,Automação,Centro-Oeste,32,2908.79,31/01/2023,1,Boleto,0.0
USER0199,4,Tablet,Eletrônicos,Centro-Oeste,23,1163.44,05/09/2023,2,Boleto,0.0
USER0200,5,Smartphone,Eletrônicos,Centro-Oeste,21,3546.0,11/12/2023,6,Transferência Bancária,0.0
USER0201,3,Sensor de Movimento,Robótica,Centro-Oeste,26,999.56,08/08/2023,5,Boleto,68.5
USER0202,5,Detector de Fumaça,Segurança,Norte,26,475.48,26/11/2023,1,Boleto,0.0
USER0203,5,Smartwatch,Eletrônicos,Nordeste,28,3499.46,27/07/2023,3,Boleto,0.0
USER0204,1,Detector de Fumaça,Segurança,Sudeste,40,3833.95,26/07/2023,5,Dinheiro,0.0
USER0205,1,Controlador,Automação,Nordeste,47,2897.57,02/08/2023,7,Pix,0.0
USER0206,2,Motor de Passo,Robótica,Norte,19,1648.57,04/05/2023,2,Boleto,82.06
USER0207,2,Motor de Passo,Robótica,Norte,35,4986.07,01/07/2023,1,Transferência Bancária,536.43
USER0208,3,Modem,Redes,Nordeste,18,2988.33,27/09/2023,5,Cartão de Crédito,454.21
USER0209,5,Câmera,Segurança,Norte,41,1297.48,14/06/2023,4,Cartão de Crédito,313.96
USER0210,3,Teclado,Informática,Centro-Oeste,57,666.93,26/08/2023,8,Dinheiro,72.04
USER0211,1,Braço Robótico,Robótica,Sudeste,21,3694.54,07/05/2023,9,Transferência Bancária,0.0
USER0212,2,Câmera,Segurança,Centro-Oeste,29,1347.34,17/01/2023,1,Dinheiro,339.09
USER0213,1,Braço Robótico,Robótica,Centro-Oeste,26,4449.8,12/06/2023,8,Pix,0.0
USER0214,4,Motor de Passo,Robótica,Norte,20,832.0,08/10/2023,4,Pix,0.0
USER0215,1,Repetidor,Redes,Centro-Oeste,40,2231.57,03/02/2023,2,Transferência Bancária,0.0
USER0216,1,Desktop,Informática,Centro-Oeste,66,2981.14,17/05/2023,5,Transferência Bancária,438.77
USER0217,2,Servo Motor,Automação,Norte,64,488.35,06/02/2023,5,Boleto,104.07
USER0218,3,Roteador,Redes,Nordeste,18,2909.86,09/06/2023,4,Cartão de Crédito,867.62
USER0219,5,Fechadura Digital,Segurança,Sul,32,3710.81,17/07/2023,9,Cartão de Crédito,248.57
USER0220,2,Tablet,Eletrônicos,Nordeste,28,921.73,04/10/2023,3,Cartão de Crédito,0.0
USER0221,3,Detector de Fumaça,Segurança,Sudeste,29,1793.67,24/02/2023,1,Transferência Bancária,0.0
USER0222,4,Modem,Redes,Nordeste,39,2291.61,12/04/2023,3,Boleto,0.0
USER0223,4,Atuador,Automação,Sudeste,56,1440.12,30/09/2023,5,Cartão de Crédito,76.53
USER0224,2,Sensor de Movimento,Robótica,Nordeste,33,3214.38,21/11/2023,8,Pix,0.0
USER0225,1,Sensor,Automação,Nordeste,54,3195.75,05/09/2023,9,Pix,0.0
USER0226,4,Repetidor,Redes,Sul,41,1004.17,26/10/2023,2,Dinheiro,0.0
USER0227,3,Câmera,Segurança,Sudeste,53,4589.61,06/07/2023,7,Pix,664.42
USER0228,5,Roteador,Redes,Sul,48,127.91,09/03/2023,2,Pix,0.0
USER0229,2,Servo Motor,Automação,Norte,28,3865.02,15/02/2023,8,Pix,1014.9
USER0230,3,Sensor de Movimento,Robótica,Centro-Oeste,49,878.89,27/03/2023,4,Cartão de Crédito,23.85
USER0231,4,Televisão,Eletrônicos,Norte,39,2284.12,30/03/2023,2,Transferência Bancária,600.02
USER0232,1,Roteador,Redes,Sul,48,1204.82,18/04/2023,2,Boleto,138.64
USER0233,1,CLP,Automação,Norte,68,3806.02,24/11/2023,2,Transferência Bancária,747.29
USER0234,1,Impressora,Informática,Nordeste,55,1237.66,29/03/2023,8,Pix,313.95
USER0235,1,Repetidor,Redes,Sudeste,19,523.63,26/07/2023,6,Dinheiro,0.0
USER0236,4,Repetidor,Redes,Norte,25,3425.43,04/03/2023,1,Transferência Bancária,0.0
USER0237,1,Smartwatch,Eletrônicos,Sudeste,33,63.5,26/07/2023,3,Cartão de Crédito,0.0
USER0238,1,Braço Robótico,Robótica,Norte,18,269.65,31/08/2023,9,Boleto,60.05
USER0239,2,Switch,Redes,Centro-Oeste,25,4753.08,03/11/2023,7,Boleto,0.0
USER0240,2,Motor de Passo,Robótica,Nordeste,21,1627.16,02/02/2023,2,Transferência Bancária,0.0
USER0241,2,Sensor,Automação,Sul,63,839.77,14/01/2023,3,Dinheiro,0.0
USER0242,5,Smartwatch,Eletrônicos,Nordeste,30,2252.68,15/11/2023,4,Cartão de Crédito,505.18
USER0243,4,Controle de Acesso,Segurança,Nordeste,45,4420.2,24/02/2023,4,Boleto,368.52
USER0244,5,Access Point,Redes,Sudeste,19,1448.94,11/03/2023,9,Pix,177.08
USER0245,5,Atuador,Automação,Sudeste,67,4576.48,20/05/2023,7,Cartão de Crédito,0.0
USER0246,1,Notebook,Informática,Sul,36,1092.9,01/04/2023,6,Transferência Bancária,248.73
USER0247,5,Kit de Montagem,Robótica,Nordeste,39,1504.75,13/03/2023,1,Dinheiro,272.8
USER0248,5,Detector de Fumaça,Segurança,Norte,49,3660.59,05/09/2023,8,Dinheiro,0.0
USER0249,1,Smartphone,Eletrônicos,Nordeste,22,3097.47,09/07/2023,2,Transferência Bancária,293.46
USER0250,1,Roteador,Redes,Norte,22,839.93,01/10/2023,4,Transferência Bancária,0.0
USER0251,2,Câmera,Segurança,Nordeste,50,4333.62,29/09/2023,8,Boleto,0.0
USER0252,4,Atuador,Automação,Sul,39,3549.48,18/02/2023,6,Transferência Bancária,0.0
USER0253,5,Braço Robótico,Robótica,Nordeste,44,2134.81,03/12/2023,8,Transferência Bancária,0.0
USER0254,4,Televisão,Eletrônicos,Sul,26,3383.55,05/03/2023,7,Transferência Bancária,0.0
USER0255,5,Fechadura Digital,Segurança,Sul,60,2298.66,30/11/2023,3,Boleto,414.92
USER0256,5,Servo Motor,Automação,Sul,63,1481.13,25/01/2023,5,Dinheiro,57.65
USER0257,3,CLP,Automação,Sudeste,19,1285.31,15/11/2023,4,Pix,0.0
USER0258,2,Notebook,Informática,Norte,38,1726.06,01/11/2023,7,Transferência Bancária,249.47
USER0259,4,Sensor,Automação,Nordeste,62,4017.56,26/06/2023,9,Transferência Bancária,0.0
USER0260,1,Smartwatch,Eletrônicos,Sudeste,25,3658.73,17/12/2023,2,Cartão de Crédito,719.52
USER0261,5,Fechadura Digital,Segurança,Centro-Oeste,32,4388.57,09/07/2023,9,Cartão de Crédito,0.0
USER0262,4,Controle de Acesso,Segurança,Centro-Oeste,59,2132.24,25/04/2023,5,Transferência Bancária,0.0
USER0263,3,Access Point,Redes,Sudeste,49,3082.47,17/08/2023,8,Transferência Bancária,107.54
USER0264,2,Monitor,Informática,Sul,30,3405.96,10/01/2023,5,Dinheiro,816.53
USER0265,5,Tablet,Eletrônicos,Sul,46,4037.63,07/05/2023,8,Dinheiro,1025.05
USER0266,5,Sensor,Automação,Sul,20,4543.01,21/04/2023,8,Pix,0.0
USER0267,2,Câmera,Segurança,Norte,50,4826.93,11/02/2023,5,Cartão de Crédito,86.6
USER0268,4,Access Point,Redes,Norte,28,82.72,12/07/2023,1,Cartão de Crédito,20.94
USER0269,2,Notebook,Informática,Sul,57,4439.94,04/11/2023,4,Cartão de Crédito,1166.95
USER0270,1,Switch,Redes,Nordeste,21,1564.83,15/04/2023,4,Transferência Bancária,0.0
USER0271,5,Access Point,Redes,Sul,39,2558.74,11/01/2023,7,Boleto,0.0
